Artist Name,Content Name,Feature Name,Event Start Timestamp,Genre
Gary Clark Jr.,Shake,radio / grouping,2019-06-11 06:42:09.589000+00:00,Rock
John Mayall,Looking at Tomorrow,radio / grouping,2019-06-11 06:42:26.910000+00:00,Rock
Gary Moore,Did You Ever Feel Lonely?,radio / grouping,2019-06-11 06:42:33.817000+00:00,Blues
Memphis Slim,Blue and Lonesome,radio / grouping,2019-06-11 06:42:48.031000+00:00,Pop
Placebo,Nancy Boy,for_you / music_reco_module / playlist_detail,2019-06-11 06:43:36.957000+00:00,Alternative
Supergrass,Alright,for_you / music_reco_module / playlist_detail,2019-06-11 06:47:25.489000+00:00,Rock
The Smiths,"Please, Please, Please Let Me Get What I Want",for_you / music_reco_module / playlist_detail,2019-06-11 06:47:53.309000+00:00,Rock
King Krule,The Noose of Jah City,for_you / music_reco_module / album_detail,2019-06-11 06:50:52.256000+00:00,Alternative
AC/DC,T.N.T.,search / artist_detail / artist_see_all,2019-06-12 07:08:58.390000+00:00,Hard Rock
MGMT,When You Die,for_you / music_reco_module / playlist_detail,2019-06-12 18:34:09.763000+00:00,Alternative
Atlas Sound,Te Amo,for_you / music_reco_module / album_detail,2019-06-12 23:35:13.209000+00:00,Alternative
Pussy Riot,Track About Good Cop,search / artist_detail,2019-06-13 20:48:56.231000+00:00,Rock
"Pussy Riot, Dave Sitek",Bad Girls (feat. Desi Mo),search / artist_detail,2019-06-13 20:51:57.659000+00:00,Alternative
Арсений Креститель,Мой вейп,search / artist_detail / artist_detail,2019-06-15 16:34:13.527000+00:00,Rock
ZHU,My Life,search / artist_detail,2019-06-16 13:38:37.461000+00:00,Electronic
Travis Scott,SKELETONS,search / artist_detail,2019-06-16 13:38:43.547000+00:00,Hip Hop/Rap
Пасош,Лето,search / artist_detail,2019-06-16 19:13:33.811000+00:00,Punk
"Пасош, ЛСП",Вечеринка (Remix),search / artist_detail,2019-06-16 19:19:23.052000+00:00,Punk
"RSAC, Пасош",Наверное хватит (Remix),search / artist_detail / artist_see_all,2019-06-16 19:42:53.277000+00:00,Punk
Quinn Christopherson,Erase Me,search / artist_detail,2019-06-17 12:46:28.368000+00:00,Alternative
Toro y Moi,Ordinary Pleasure,search / artist_detail,2019-06-18 07:18:57.107000+00:00,Indie Pop
Flying Lotus,9 Carrots (feat. Toro y Moi),search / artist_detail,2019-06-18 07:24:42.449000+00:00,Electronic
The Yardbirds,Lost Woman,for_you / music_reco_module / album_detail,2019-06-23 06:30:47.315000+00:00,Rock
CCFX,The One to Wait,for_you / music_reco_module / album_detail,2019-06-25 06:46:49.269000+00:00,Electronic
The Smashing Pumpkins,1979,search / artist_detail,2019-06-25 07:02:17.292000+00:00,Hard Rock
Сплин,Выхода нет,search / artist_detail,2019-06-27 06:35:23.328000+00:00,Rock
Мумий Тролль,Владивосток 2000,search / artist_detail / artist_detail,2019-06-27 06:35:45.046000+00:00,Rock
Валентин Стрыкало,Кладбище самолётов,search,2019-06-27 18:06:39.929000+00:00,Alternative
Найк Борзов,Лошадка,search / playlist_detail,2019-06-29 15:30:03.903000+00:00,Rock
Foxygen,Work,search / artist_detail,2019-06-29 19:08:33.083000+00:00,Indie Rock
Jimi Hendrix,All Along the Watchtower,for_you / recently_played / album_detail / artist_detail,2019-07-01 05:36:32.342000+00:00,Rock
